,도로명 주소,업체구분,업체명,연락처,지번 주소
0,강원도 강릉시 경포로 489-6,식음료,스웨이,,강원도 강릉시 안현동 94-143
1,강원도 인제군 상남면 내린천로 1622,숙박지,미산분교캠핑장,,강원도 인제군 상남면 미산리 376-6
2,강원도 영월군 무릉도원면 무릉법흥로 932,숙박지,하얀여울캠프,,강원도 영월군 무릉도원면 법흥리 37-11
3,강원도 동해시 망상길 43,식음료,솔솔밀크티,,강원도 동해시 망상동 363-1
4,강릉시 연곡면 해안로 1279,숙박지,카리스펜션,,강원도 강릉시 연곡면 동덕리 144-10
5,강원도 영월군 무릉도원면 고일길 18-5,숙박지,슬로우캠프,,강원도 영월군 무릉도원면 운학리 614-3
6,강원도 춘천시 남면 버들길 60-7,식음료,카페 캐빈,,강원도 춘천시 남면 후동리 367-2
7,강원도 영월군 무릉도원면 무릉법흥로 516,숙박지,금방아 민박 캠핑장,,강원도 영월군 무릉도원면 법흥리 728-1
8,강원도 춘천시 효석로 129,식음료,카페너니,,강원도 춘천시 석사동 660-9
9,강원도 영월군 주천면 평창강로 67,숙박지,사람과자연펜션,,강원도 영월군 주천면 판운리 302-13
10,강원도 춘천시 동내면 순환대로 630,식음료,세계주류마켓,,강원도 춘천시 동내면 학곡리 5-63
11,강원도 춘천시 서면 금산2길 22-4,숙박지,비안단테 펜션,,강원도 춘천시 서면 금산리 477-1
12,강원도 영월군 영월읍 선돌길 249,숙박지,청호정펜션,,강원도 영월군 영월읍 방절리 676-2
13,강원도 정선군 남면 광락로 519,숙박지,러브팩토리펜션&캠핑장,,강원도 정선군 남면 낙동리 618
14,강원도 양양군 현남면 화상해안길 247,식음료,거북이서프바,,강원도 양양군 현남면 남애리 180-13
15,강원도 철원군 서면 아리랑로37번길 19,식음료,와수리 커피,,강원도 철원군 서면 와수리 1194-58
16,강원도 양양군 강현면 중복골길 11,숙박지,양양해피플레이스,,강원도 양양군 강현면 중복리 109-2
17,강원도 양양군 현북면 동해대로 1242,관광지,해피플레이스애견비치,,강원도 양양군 현북면 잔교리 41-10
18,강원도 춘천시 신북읍 용산길 191-21,식음료,용산559,,강원도 춘천시 신북읍 용산리 559
19,강원도 춘천시 남산면 홍천강변길 410,숙박지,해피리버펜션,,강원도 춘천시 남산면 산수리 455-4
20,강원도 삼척시 근덕면 덕산해안로 78,숙박지,신나개 애견펜션,,강원도 삼척시 근덕면 덕산리 300
21,강원도 원주시 지정면 구재로 352-4,숙박지,오크카운티펜션,,강원도 원주시 지정면 판대리 612-27
22,강원도 양양군 서면 상평1길 17-2,숙박지,강이네하우스,,강원도 양양군 서면 상평리 437
23,강원도 춘천시 남춘로45번길 28,식음료,카페멜버른,,강원도 춘천시 효자동 704-23
24,강원도 홍천군 서면 굴업솔골길 60-9,숙박지,펜션아이리스,,강원도 홍천군 서면 굴업리 280
25,강원도 춘천시 동면 가산로 186-5,식음료,예와생스튜디오카페,,강원도 춘천시 동면 지내리 407
26,강원도 강릉시 해안로 656-1,숙박지,곰앤패들보드캠핑장,,강원도 강릉시 안현동 227-1
27,강원도 동해시 촛대바위길 18,식음료,추암대게,,강원도 동해시 추암동 1-9
28,강원도 양구군 양구읍 학안로 97-21,숙박지,학조리샘말펜션,,강원도 양구군 양구읍 학조리 612-1
29,강원도 영월군 주천면 황산벌길 186,숙박지,캠핑올라,,강원도 영월군 주천면 용석리 1281-1
30,강원도 춘천시 남산면 북한강변길 826,숙박지,아름다운집,,강원도 춘천시 남산면 강촌리 645-1
31,강원도 춘천시 신북읍 신샘밭로 622-7,식음료,신북커피,,강원도 춘천시 신북읍 천전리 672-5
32,강원도 양양군 서면 들돌길 207,숙박지,하얀멍이 애견펜션,,강원도 양양군 서면 장승리 174
33,강원도 홍천군 서면 한서로 1774,식음료,홍시,,강원도 홍천군 서면 대곡리 613
34,강원도 강릉시 주문진읍 연주로 308-1,동물병원,중앙동물병원,,강원도 강릉시 주문진읍 교항리 48-218
35,강원도 홍천군 홍천읍 홍천로 666-1,식음료,카페 까만콩,,강원도 홍천군 홍천읍 결운리 314-16
36,강원도 철원군 갈말읍 직탕길 26,숙박지,별비내리는마을펜션,,강원도 철원군 갈말읍 상사리 536
37,강원도 철원군 동송읍 도피동길 72-1,숙박지,학마을캠핑장,,강원도 철원군 동송읍 관우리 374-1
38,강원도 철원군 갈말읍 순담길 299,식음료,프로방스 카페,,강원도 철원군 갈말읍 군탄리 1749-2
39,강원도 속초시 동해대로3950번길 15,숙박지,조양펜션,,강원도 속초시 조양동 1463-7
40,강원도 홍천군 서면 한서로 2019,숙박지,엘페로애견펜션,,강원도 홍천군 서면 대곡리 86-11
41,강원도 정선군 고한읍 고토일길 275,숙박지,하이하늘펜션,,강원도 정선군 고한읍 고한리 239
42,강원도 양양군 강현면 동해대로 3411,숙박지,더퍼피즈블루오션,,강원도 양양군 강현면 정암리 17-1
43,강원도 고성군 죽왕면 괘진길 53-11,식음료,헬로우씨카페,,강원도 고성군 죽왕면 문암진리 134-70
44,강원도 원주시 소초면 황골로 269-23,숙박지,하이봉자,,강원도 원주시 소초면 흥양리 972-1
45,강원도 강릉시 창해로350번길 25,숙박지,블루앤펫,,강원도 강릉시 강문동 212
46,강릉시 안현로 114-12,숙박지,나인원펜션,,강원도 강릉시 안현동 743-3
47,강원도 평창군 방림면 감동지길 100,숙박지,도그밀리,,강원도 평창군 방림면 계촌리 2232
48,강원도 양양군 강현면 주청2길 17,숙박지,아담하우스,,강원도 양양군 강현면 주청리 7-30
49,,숙박지,방태산솔마루오토캠핑장,,강원도 인제군 기린면 방동리 257
50,강원도 춘천시 신북읍 지내고탄로 184,식음료,유기농카페,,강원도 춘천시 신북읍 지내리 664-1
51,강원도 인제군 상남면 내린천로 2355,숙박지,반디하우스,,강원도 인제군 상남면 미산리 780-1
52,강원도 철원군 갈말읍 직탕길 26,식음료,카페공간,,강원도 철원군 갈말읍 상사리 535
53,강원도 영월군 무릉도원면 무릉법흥로 1208-7,숙박지,영월키즈캠핑장(힐링캠프),,강원도 영월군 무릉도원면 법흥리 181
54,강원도 춘천시 남산면 갯골길 178,숙박지,하늘풍경펜션,,강원도 춘천시 남산면 방곡리 591
55,강원도 화천군 하남면 춘화로 2861-10,숙박지,화천써비스펜션,,강원도 화천군 하남면 거례리 265
56,강원도 속초시 관광로 250-20,식음료,나나 Dog,,강원도 속초시 노학동 843-10
57,강릉시 하남길 197-15,숙박지,경포도도애견펜션,,강원도 강릉시 안현동 403-3
58,강원도 정선군 남면 자뭇골길 212,숙박지,프로방스 펜션,,강원도 정선군 남면 무릉리 739-14
59,강원도 평창군 봉평면 흥정계곡길 72,숙박지,가을동화펜션,,강원도 평창군 봉평면 흥정리 285-3
60,강원도 평창군 봉평면 안흥동길 132-7,숙박지,힐링하시개,,강원도 평창군 봉평면 무이리 1116-1
61,강릉시 성산면 삼왕길 171-13,숙박지,해피몽펜션,,강원도 강릉시 성산면 보광리 881-2
62,강원도 평창군 봉평면 거품소길 271,숙박지,봄여름가을겨울,,강원도 평창군 봉평면 유포리 409-4
63,강원도 평창군 방림면 감동지길 104,숙박지,그랑샤리오,,강원도 평창군 방림면 계촌리 2228-2
64,강원도 정선군 정선읍 병방치길 35-18,숙박지,정선황토펜션,,강원도 정선군 정선읍 북실리 630-3
65,강원도 정선군 화암면 소금강로 2188,숙박지,락있수다펜션,,강원 정선군 화암면 호촌리 172-7
66,강원도 평창군 봉평면 봉평북로 250-60,숙박지,라비앙펜션,,강원도 평창군 봉평면 무이리 16-10
67,강원도 춘천시 서면 박사로 732,식음료,어반그린,,강원도 춘천시 서면 현암리 578-5
68,강원도 영월군 한반도면 한반도로 794-14,숙박지,큐브존캠핑&펜션,,강원도 영월군 한반도면 옹정리 440-19
69,강원도 영월군 무릉도원면 무릉법흥로 968-12,숙박지,꿈엔들캠프,,강원도 영월군 무릉도원면 법흥리 51
70,강원도 고성군 죽왕면 곡실평길 332,숙박지,숲속의 정원,,강원도 고성군 죽왕면 야촌리 1024-30
71,강원도 홍천군 서면 팔봉강변길 217,식음료,테라스의아침,,강원도 홍천군 서면 팔봉리 83-3
72,강원도 평창군 봉평면 석이바우길 92-34,숙박지,봉쥬르펜션,,강원도 평창군 봉평면 면온리 697-38
73,강원도 영월군 한반도면 후탄로 826,숙박지,한반도캠핑장,,강원도 영월군 한반도면 후탄리 555-2
74,강원도 인제군 남면 설악로 1129,숙박지,러빙네이쳐 캠핑장,,강원도 인제군 남면 부평리 1070-2
75,강원도 평창군 봉평면 진조2길 281-4,숙박지,대박이하우스,,강원도 평창군 봉평면 진조리 260-5
76,강원도 동해시 분토길 188-7,숙박지,황토민박펜션,,강원도 동해시 지흥동 321-6
77,강원도 영월군 무릉도원면 도원운학로 475-10,숙박지,월드니스 오토 캠핑장,,강원도 영월군 무릉도원면 도원리 795-1
78,강원도 고성군 토성면 용원로 595,식음료,카페서락,,강원도 고성군 토성면 원암리 259-4
79,강원도 양양군 강현면 진미로 510-36,숙박지,몬띠마르펜션,,강원도 양양군 강현면 물갑리 254-5
80,강원도 인제군 인제읍 자작나무숲길 1061-5,식음료,카페견로당,,강원도 인제군 인제읍 원대리 671-13
81,강원도 원주시 소초면 황골로 426,식음료,사진정원,,강원도 원주시 소초면 흥양리 247
82,강원도 평창군 방림면 감동지길 116-4,숙박지,평창듀오애견수영장계곡펜션,,강원도 평창군 방림면 계촌리 2223-2
83,강원도 원주시 양지뜰4길 6,식음료,우밀타,,강원도 원주시 반곡동 1852-2
84,강원도 춘천시 신북읍 신북로 323,식음료,단우물카페,,강원도 춘천시 신북읍 산천리 320-2
85,강원도 원주시 부론면 부론로 285-5,숙박지,비안단테펜션 원주점,,강원도 원주시 부론면 정산리 2121-4
86,강원도 삼척시 근덕면 덕산해변길 144-6,숙박지,나디아민박,,강원도 삼척시 근덕면 덕산리 107-66
87,강원도 원주시 지정면 지정로 912,체험,유알컬처파크,,강원도 원주시 지정면 안창리 595-14
88,강원도 원주시 지정면 지정로 912-1,숙박지,유알풀빌라펜션,,강원도 원주시 지정면 안창리 595-6
89,강원도 정선군 남면 자뭇골길 206,숙박지,메이플펜션,,강원도 정선군 남면 무릉리 739-7
90,,관광지,멍비치,,강원도 양양군 현남면 광진리 78-20
91,강원도 춘천시 남산면 강촌로 250,숙박지,강촌잠빌펜션,,강원도 춘천시 남산면 방곡리 281-1
92,강원도 양양군 강현면 동해대로 3373,식음료,어느멋진날카페,,강원도 양양군 강현면 정암리 148-2
93,,관광지,정암해수욕장,,강원도 양양군 강현면 정암리 3
94,강원도 원주시 판부면 치악로 1071,식음료,펫타운,,강원도 원주시 판부면 금대리 893-2
95,강원도 양양군 현북면 하조대4길 32,식음료,비치얼스,,강원도 양양군 현북면 하광정리 95
96,강원도 양양군 손양면 남대천로 251-117,숙박지,발렌타인애견펜션,,강원도 양양군 손양면 상왕도리 742
97,강원도 춘천시 동내면 거두길 26,식음료,발바닥 애견카페,,강원도 춘천시 동내면 거두리 546-2
98,"강원도 속초시 대포항희망길 59, S동 17호",식음료,남다르게,,강원도 속초시 대포동 963
99,강원도 양양군 손양면 선사유적로 316-104,숙박지,아쇼카펜션,,강원도 양양군 손양면 동호리 1-43
100,강원도 춘천시 남산면 서천길 117,숙박지,쏠리오,,강원도 춘천시 남산면 서천리 319
101,강원도 평창군 봉평면 석이바우길 92-28,숙박지,펜션 숲속하얀뜰,,강원도 평창군 봉평면 면온리 697-17
102,강원도 양양군 강현면 뒷나루2길 24-1,숙박지,오핑펜션,,강원도 양양군 강현면 전진리 58-3
103,강원도 영월군 무릉도원면 무릉법흥로 1208-56,숙박지,영월캠프,,강원도 영월군 무릉도원면 법흥리 143-3
104,강원도 원주시 신림면 신림황둔로 1060,식음료,도즈오프 애견운동장,,강원도 원주시 신림면 황둔리 563
105,강원도 평창군 봉평면 백운동길 60-6,숙박지,아침에새소리,,강원도 평창군 봉평면 무이리 288-1
106,강원도 원주시 양지뜰4길 1-2,식음료,시즈온,,강원도 원주시 반곡동 1848-3
107,강원도 춘천시 안마산로 34-17,식음료,퍼피쿵,,강원도 춘천시 퇴계동 802-5
108,강원도 영월군 무릉도원면 도원운학로 475-10,숙박지,월드니스 글램핑장,,강원도 영월군 무릉도원면 도원리 795-1
109,강원도 강릉시 강동면 정동3길 32-11,숙박지,펜션지아니,,강원도 강릉시 강동면 정동진리 146-5
110,강원도 정선군 남면 광락로 349-30,숙박지,파인트리 캠핑장,,강원도 정선군 남면 낙동리 498-1
111,강원도 춘천시 동면 하일길 197,숙박지,수한예,,강원도 춘천시 동면 장학리 730-6
112,강원도 강릉시 초당원길 69-1,숙박지,까사초당,,강원도 강릉시 초당동 243-1
113,강릉시 하남길 117-4,숙박지,프렌즈애견펜션,,강원도 강릉시 안현동 506-1
114,강원도 정선군 남면 덕만길 5-19,숙박지,또바기콘도펜션,,강원도 정선군 남면 무릉리 295
115,강원도 양양군 손양면 선사유적로 240-29,숙박지,보노펜션,,강원도 양양군 손양면 동호리 1-53
116,강원도 양양군 현남면 새나루길 31,숙박지,화이트샌드펜션,,강원도 양양군 현남면 시변리 33-15
117,강원도 삼척시 근덕면 용화안길 64-13,숙박지,다사랑 펜션,,강원도 삼척시 근덕면 용화리 143-2
118,"강원도 양양군 손양면 수산2길 16-11, C동",숙박지,빈티지하우스펜션,,강원도 양양군 손양면 수산리 70
119,강원도 홍천군 화촌면 도광터길 208,식음료,아나파우오,,강원도 홍천군 화촌면 군업리 1371
120,강원도 양양군 강현면 뒷나루2길 5-4,숙박지,설악비치펜션,,강원도 양양군 강현면 전진리 66-8
121,강원도 양양군 강현면 해맞이길 4,식음료,낙산바다회마을,,강원도 양양군 강현면 전진리 10-2
122,강원도 양양군 현북면 하조대2길 48-34,식음료,헬로피스카페,,강원도 양양군 현북면 하광정리 618-4
123,강원도 양양군 현남면 인구길 60-11,숙박지,서퍼스파라다이스 STAY,,강원도 양양군 현남면 인구리 631-4
124,강원도 인제군 인제읍 자작나무숲길 1061-2,숙박지,보리네민박,,강원도 인제군 인제읍 원대리 671-16
125,강원도 강릉시 주문진읍 아래강정길 8-47,식음료,카페루아,,강원도 강릉시 주문진읍 향호리 113-1
126,강원도 동해시 전천로 235-21,식음료,삐삐라떼,,강원도 동해시 북평동 214-3
127,강원도 춘천시 동면 도토골길 62,식음료,솔길따라,,강원도 춘천시 동면 만천리 395-6
128,강원도 양양군 현남면 인구중앙길 79,식음료,피빙,,강원도 양양군 현남면 시변리 38-9
129,강원도 춘천시 신북읍 신샘밭로 729,식음료,샘토명물닭갈비,,강원도 춘천시 신북읍 천전리 68-2
130,강원도 원주시 천매봉길 20-9,식음료,개고생,,강원도 원주시 단구동 1557-6
131,강원도 양양군 손양면 선사유적로 244,숙박지,딜라이트펜션,,강원도 양양군 손양면 동호리 85-7
132,강원도 동해시 망상길 49,숙박지,망상파란펜션,,강원도 동해시 망상동 362-4
133,강원도 속초시 선사로2길 14,식음료,둥개둥개,,강원도 속초시 조양동 1537-1
134,강원도 춘천시 영서로 2949-13,식음료,사농동334,,강원도 춘천시 사농동 334
135,,숙박지,정관루,031-580-8000,강원도 춘천시 남산면 방하리 198-1
136,강원도 춘천시 남산면 남이섬길 1,식음료,고목,031-580-8053,강원도 춘천시 남산면 방하리 198
137,강원도 춘천시 남산면 남이섬길 1,관광지,남이섬,031-580-8114,강원도 춘천시 남산면 방하리 198-7
138,,체험,투개더파크,031-580-8114,강원도 춘천시 남산면 방하리 198-7
139,,관광지,아들바위공원,033-1330,강원도 강릉시 주문진읍 주문리 791-47
140,강원도 춘천시 신북읍 신샘밭로 380,식음료,파머스가든,033-241-0505,강원도 춘천시 신북읍 율문리 37-77
141,강원도 춘천시 신북읍 신샘밭로 706-8,식음료,카페나스,033-241-9445,강원도 춘천시 신북읍 천전리 85-1
142,,관광지,소양강댐,033-242-2455,강원도 춘천시 신북읍 천전리 산73-18
143,강원도 춘천시 신북읍 지내고탄로 246,식음료,쉬러와,033-242-6039,강원도 춘천시 신북읍 지내리 473
144,강원도 춘천시 춘천로 188,동물병원,광장동물병원,033-242-8075,강원도 춘천시 효자동 654-3
145,강원도 춘천시 스포츠타운길 113-1,체험,춘천 물레길,033-242-8463,강원도 춘천시 송암동 644-23
146,강원도 춘천시 신북읍 신샘밭로 621,식음료,강산숯불닭갈비막국수,033-242-9972,강원도 춘천시 신북읍 천전리 672-1
147,강원도 춘천시 남춘로 49,숙박지,헤이춘천,033-243-5566,강원도 춘천시 효자동 712-12
148,강원도 춘천시 서면 박사로 976,식음료,서면카페,033-243-6222,강원도 춘천시 서면 금산리 495-7
149,강원도 춘천시 춘천로 287-1,동물병원,하나동물병원,033-243-7511,강원도 춘천시 후평동 686-3
150,강원도 춘천시 신북읍 신샘밭로 388-8,식음료,신세계춘천정통닭갈비,033-244-7575,강원도 춘천시 신북읍 율문리 37-161
151,강원도 춘천시 남산면 서백길 57,관광지,경강 레일바이크,033-245-1002,강원도 춘천시 남산면 서천리 226-6
152,,관광지,춘천댐,033-245-2211,강원도 춘천시 서면 오월리 산12-34
153,,관광지,공지천공원,033-250-3089,강원도 춘천시 근화동 690-1
154,,체험,물길로(의암호 킹카누),033-251-9600,강원 춘천시 송암동 684
155,강원도 춘천시 신북읍 배후령길 9,식음료,초이랑,033-252-5556,강원도 춘천시 신북읍 천전리 115-1
156,강원도 춘천시 동면 만천양지길 147-1,식음료,인디언독,033-253-2250,강원도 춘천시 동면 만천리 332-7
157,,체험,춘천의암호스카이워크,033-253-3700,강원도 춘천시 칠전동 486
158,강원도 춘천시 남춘로55번길 14,식음료,멋 갤러리카페,033-255-3289,강원도 춘천시 효자동 707-12
159,강원도 춘천시 춘천로 267,동물병원,현대동물병원,033-256-7582,강원도 춘천시 후평동 677-21
160,,동물병원,닥터각동물병원,033-261-2524,강원도 춘천시 퇴계동 171-5
161,강원도 춘천시 남산면 검봉산길 35,숙박지,노아스펜션,033-261-5079,강원도 춘천시 남산면 강촌리 539
162,강원도 춘천시 세실로 100-32,식음료,하루숯불생고기,033-261-6655,강원 춘천시 석사동 34-6
163,,관광지,김유정역 폐역,033-261-7780,강원도 춘천시 신동면 증리 859-9
164,강원도 춘천시 동산면 새술막길 691,식음료,커멍커멍,033-262-0599,강원도 춘천시 동산면 원창리 880-1
165,강원도 춘천시 신동면 모오리길 47-28,식음료,카페 8mm,033-262-6868,강원도 춘천시 신동면 팔미리 237-2
166,강원도 춘천시 남산면 북한강변길 840,숙박지,리버윅펜션,033-262-9601,강원도 춘천시 남산면 강촌리 631-1
167,강원도 춘천시 동내면 춘천순환로 70,동물병원,우리동물병원,033-263-7502,강원도 춘천시 동내면 거두리 926-5
168,강원도 춘천시 안마산로 294-30,식음료,도그스테이블,033-264-0024,강원도 춘천시 석사동 172
169,강원도 춘천시 동내면 순환대로 632,식음료,와이어드커피,033-264-0633,강원도 춘천시 동내면 학곡리 5-14
170,강원도 춘천시 동산면 종자리로 224-104,숙박지,춘천숲자연휴양림캠핑장,033-264-1156,강원도 춘천시 동산면 군자리 산403
171,강원도 춘천시 안마산로 189,동물병원,고려동물병원,033-264-9975,강원도 춘천시 퇴계동 140-23
172,,관광지,막동계곡,033-330-2607,강원도 평창군 진부면 막동리 250-1
173,강원도 평창군 진부면 장전길 435-2,관광지,장전계곡,033-330-2607,강원도 평창군 진부면 장전리 산1
174,강원도 평창군 봉평면 무이진등길 37,식음료,대관령한우프라자,033-332-7222,강원도 평창군 봉평면 무이리 236-2
175,강원도 평창군 용평면 느므골길 53,식음료,바셀로,033-333-0032,강원도 평창군 용평면 장평리 119-6
176,강원도 평창군 대관령면 오목길 107,숙박지,라마다호텔&스위트평창,033-333-1000,강원도 평창군 대관령면 횡계리 245-66
177,강원도 평창군 봉평면 흥정계곡길 313-3,숙박지,북극곰 야영장,033-333-2019,강원도 평창군 봉평면 흥정리 312-2
178,강원도 평창군 봉평면 석이바우길 71-20,숙박지,샬레리조트,033-334-5635,강원도 평창군 봉평면 면온리 726-1
179,강원도 평창군 봉평면 거품소길 349-6,숙박지,보물섬캠핑장,033-334-7859,강원도 평창군 봉평면 유포리 61-2
180,강원도 평창군 봉평면 메밀꽃길 13,식음료,풀내음,033-335-0034,강원도 평창군 봉평면 원길리 763-5
181,강원도 평창군 대관령면 오목길 152,관광지,순수양떼목장,033-335-1497,강원도 평창군 대관령면 횡계리 산2-45
182,강원도 평창군 봉평면 흥정계곡길 225,관광지,허브나라농원,033-335-2902,강원도 평창군 봉평면 흥정리 302-7
183,강원도 평창군 대관령면 대관령로 119,체험,대관령눈꽃축제,033-335-3995,강원도 평창군 대관령면 횡계리 329-4
184,강원도 평창군 진부면 경강로 3562,체험,평창 송어축제,033-336-4000,강원도 평창군 진부면 하진부리 325
185,강원도 평창군 대관령면 가시머리길 36-54,관광지,국민의숲,033-336-4037,강원도 평창군 대관령면 횡계리 14-370
186,강원도 횡성군 횡성읍 문정로 10,동물병원,김재문동물병원,033-343-5450,강원도 횡성군 횡성읍 읍하리 134-32
187,강원도 횡성군 갑천면 태기로구방5길 40,관광지,횡성호수길5구간,033-345-9657,강원도 횡성군 갑천면 구방리 512
188,강원도 영월군 무릉도원면 도원운학로 13-39,관광지,요선암 요선정,033-370-2931,강원도 영월군 무릉도원면 무릉리 1057
189,강원도 영월군 무릉도원면 무릉법흥로 852-15,숙박지,영월 스카이펜션&캠핑장,033-372-0399,강원도 영월군 무릉도원면 법흥리 587
190,강원도 영월군 남면 연당로 47-6,체험,별빛반려견 놀이터,033-372-0545,강원도 영월군 남면 연당리 1036
191,강원도 영월군 영월읍 중앙로 84,식음료,황가네숯불꾸이꾸이,033-372-9182,강원도 영월군 영월읍 영흥리 904-1
192,강원도 영월군 주천면 송학주천로 1467-9,관광지,젊은달와이파크,033-372-9411,강원도 영월군 주천면 주천리 1376-36
193,강원도 영월군 영월읍 중앙로 75,동물병원,강원동물병원,033-373-0788,강원도 영월군 영월읍 영흥리 845-10
194,,관광지,펫힐링달빛동물원,033-373-0995,강원도 영월군 남면 연당리 662-2
195,강원도 영월군 영월읍 중앙로 32,식음료,커피베이 영월점,033-374-6666,강원도 영월군 영월읍 영흥리 947-53
196,강원도 영월군 무릉도원면 무릉법흥로 1050-16,숙박지,남강캠프,033-375-1006,강원도 영월군 무릉도원면 법흥리 89-9
197,강원도 영월군 무릉도원면 백년계곡길 142,숙박지,산여울 캠핑장,033-375-2268,강원도 영월군 무릉도원면 법흥리 297
198,강원도 영월군 영월읍 분수대길 64,식음료,윤스빈,033-375-3077,강원도 영월군 영월읍 하송리 184-46
199,강원도 영월군 영월읍 동강로 100,식음료,탐앤탐스 영월점,033-375-3920,강원도 영월군 영월읍 삼옥리 1646-6
200,강원도 영월군 영월읍 은행나무길 90,식음료,카페뮤지스,033-375-5497,강원도 영월군 영월읍 하송리 121-2
201,강원도 영월군 무릉도원면 중방길 2-45,숙박지,여울소리 오토 캠핑장,033-375-7863,강원도 영월군 무릉도원면 무릉리 800-5
202,강원도 영월군 한반도면 서강로 1159-93,숙박지,한반도 솔숲쉼터,033-375-7935,강원도 영월군 한반도면 광전리 598-1
203,강원도 홍천군 서면 한서로 2167,식음료,홍천원조화로구이,033-432-8592,강원도 홍천군 서면 굴업리 361-7
204,강원도 홍천군 서면 팔봉산로 368,체험,휘바핀란드,033-433-0288,강원도 홍천군 서면 두미리 631-6
205,강원도 홍천군 홍천읍 홍천로 491,식음료,어도러블독,033-433-3631,강원도 홍천군 홍천읍 갈마곡리 426-2
206,강원도 홍천군 홍천읍 번영로 61-1,동물병원,신흥동물병원,033-434-2206,강원도 홍천군 홍천읍 신장대리 13-1
207,강원도 홍천군 홍천읍 홍천로 381,동물병원,윤성철동물병원,033-435-6995,강원도 홍천군 홍천읍 신장대리 31-1
208,강원도 홍천군 서면 한치골길 75-12,숙박지,신영펜션,033-435-8666,강원도 홍천군 서면 대곡리 25
209,강원도 홍천군 홍천읍 홍천로 420,동물병원,우리동물병원,033-436-7502,강원도 홍천군 홍천읍 진리 22-9
210,강원도 홍천군 홍천읍 무궁화로 44,동물병원,봄동물병원,033-436-7582,강원도 홍천군 홍천읍 연봉리 206-17
211,강원도 홍천군 서면 한치골길 262,식음료,셰프스키친,033-439-7437,강원도 홍천군 서면 팔봉리 1290-2
212,강원도 화천군 화천읍 평화로 3481-143,관광지,세계평화의종공원,033-440-2318,강원도 화천군 화천읍 동촌리 2917-9
213,강원도 화천군 화천읍 평화로 3518,관광지,국제평화아트파크,033-440-2361,강원도 화천군 화천읍 동촌리 2917-9
214,강원도 화천군 하남면 호수길 329,관광지,동구래마을,033-440-2361,강원도 화천군 하남면 원천리 650-2
215,,관광지,꺼먹다리,033-440-2575,강원도 화천군 화천읍 대이리 468-3
216,,관광지,붕어섬,033-440-2575,강원도 화천군 화천읍 하리 165
217,,관광지,아를테마수목원,033-440-2575,강원도 화천군 하남면 거례리 514-1
218,강원도 화천군 하남면 건넌들길 97,관광지,서오지리 연꽃단지,033-440-2952,강원도 화천군 하남면 서오지리 25-15
219,강원도 화천군 화천읍 비수구미길 145-145,숙박지,평화의댐오토캠핑장,033-440-4533,강원도 화천군 화천읍 동촌리 2905-3
220,강원도 화천군 사내면 사내로 17-1,동물병원,김남수동물병원,033-441-3213,강원도 화천군 사내면 사창리 423-14
221,강원도 화천군 간동면 배후령길 1144,숙박지,국립화천숲속야영장,033-441-4466,강원도 화천군 간동면 간척리 산151-1
222,강원도 화천군 사내면 천문대길 79-8,숙박지,아폴로천문대펜션,033-441-7342,강원도 화천군 사내면 광덕리 1127
223,강원도 화천군 하남면 춘화로 2861-10,식음료,화천써비스허브정원카페,033-442-4660,강원도 화천군 하남면 거례리 265
224,강원도 화천군 화천읍 가손이길 36,동물병원,아리동물병원,033-442-7990,강원도 화천군 화천읍 아리 110-4
225,강원도 철원군 동송읍 한탄강길 112,관광지,은하수교,033-450-5114,강원도 철원군 동송읍 장흥리 2471
226,강원도 철원군 동송읍 직탕길 94,관광지,직탕폭포,033-450-5534,강원도 철원군 동송읍 장흥리 336
227,강원도 철원군 철원읍 금강산로 265,관광지,노동당사,033-450-5558,강원도 철원군 철원읍 관전리 3-5
228,강원도 철원군 동송읍 태봉로 1825,관광지,고석정,033-450-5559,강원도 철원군 동송읍 장흥리 20-1
229,강원도 철원군 갈말읍 명성로 279,동물병원,문혜동물병원,033-452-5894,강원도 철원군 갈말읍 군탄리 447-12
230,,동물병원,튼튼동물병원,033-452-9124,강원도 철원군 갈말읍 문혜리 681-16
